ENST00000456328	ENSG00000223972
ENST00000642116	ENSG00000240361
ENST00000495576	ENSG00000239945
ENST00000493797	ENSG00000239906
ENST00000496488	ENSG00000241599
ENST00000426406	ENSG00000284733
ENST00000332831	ENSG00000284662
ENST00000506640	ENSG00000228327
ENST00000422528	ENSG00000229905
ENST00000447500	ENSG00000230092
ENST00000326734	ENSG00000177757
ENST00000473798	ENSG00000225880
ENST00000607769	ENSG00000272438
ENST00000448179	ENSG00000230699
ENST00000398216	ENSG00000241180
ENST00000606034	ENSG00000272512
ENST00000458555	ENSG00000224969
ENST00000418300	ENSG00000242590
ENST00000442292	ENSG00000273443
ENST00000453464	ENSG00000237330
ENST00000416774	ENSG00000223823
ENST00000606993	ENSG00000272141
ENST00000379317	ENSG00000205231
ENST00000379198	ENSG00000176022
ENST00000565563	ENSG00000260179
ENST00000444968	ENSG00000240731
ENST00000339381	ENSG00000169962
ENST00000607307	ENSG00000272455
ENST00000428932	ENSG00000225905
ENST00000378821	ENSG00000205116
ENST00000378785	ENSG00000215915
ENST00000641974	ENSG00000284740
ENST00000366221	ENSG00000215014
ENST00000422725	ENSG00000228594
ENST00000607222	ENSG00000272106
ENST00000607013	ENSG00000272004
ENST00000596308	ENSG00000269737
ENST00000598846	ENSG00000268575
ENST00000412228	ENSG00000231050
ENST00000443930	ENSG00000233542
ENST00000606533	ENSG00000271806
ENST00000442483	ENSG00000234396
ENST00000607720	ENSG00000272161
ENST00000602865	ENSG00000269896
ENST00000607858	ENSG00000272420
ENST00000424657	ENSG00000224387
ENST00000442305	ENSG00000229393
ENST00000378453	ENSG00000197921
ENST00000606645	ENSG00000272449
ENST00000424215	ENSG00000228037
ENST00000427302	ENSG00000237058
ENST00000638002	ENSG00000283259
ENST00000457440	ENSG00000233234
ENST00000429389	ENSG00000231630
ENST00000378404	ENSG00000169717
ENST00000440516	ENSG00000226286
ENST00000607061	ENSG00000272235
ENST00000606489	ENSG00000272088
ENST00000435049	ENSG00000238260
ENST00000443034	ENSG00000227589
ENST00000416554	ENSG00000235131
ENST00000607459	ENSG00000272153
ENST00000642139	ENSG00000284703
ENST00000641472	ENSG00000284694
ENST00000438791	ENSG00000227169
ENST00000641254	ENSG00000284739
ENST00000641403	ENSG00000284674
ENST00000443270	ENSG00000231510
ENST00000641871	ENSG00000284616
ENST00000641583	ENSG00000284666
ENST00000564261	ENSG00000260972
ENST00000262450	ENSG00000116254
ENST00000455744	ENSG00000226944
ENST00000377898	ENSG00000173673
ENST00000377893	ENSG00000158292
ENST00000607670	ENSG00000271746
ENST00000419034	ENSG00000231868
ENST00000641757	ENSG00000284744
ENST00000442889	ENSG00000237436
ENST00000456701	ENSG00000237365
ENST00000427317	ENSG00000237402
ENST00000440032	ENSG00000225126
ENST00000602640	ENSG00000270171
ENST00000602973	ENSG00000270035
ENST00000602916	ENSG00000269978
ENST00000602406	ENSG00000269925
ENST00000451646	ENSG00000236266
ENST00000641100	ENSG00000284716
ENST00000445300	ENSG00000238290
ENST00000424689	ENSG00000233645
ENST00000433876	ENSG00000228423
ENST00000414948	ENSG00000236269
ENST00000442636	ENSG00000230679
ENST00000400906	ENSG00000197241
ENST00000632503	ENSG00000281937
ENST00000641006	ENSG00000284652
ENST00000441033	ENSG00000235263
ENST00000302692	ENSG00000171612
ENST00000377320	ENSG00000179840
ENST00000415330	ENSG00000231789
ENST00000454104	ENSG00000223989
ENST00000445884	ENSG00000228150
ENST00000413148	ENSG00000241326
ENST00000294435	ENSG00000162444
ENST00000607572	ENSG00000271989
ENST00000377049	ENSG00000241563
ENST00000424487	ENSG00000203469
ENST00000606802	ENSG00000272078
ENST00000620028	ENSG00000277726
ENST00000452378	ENSG00000226849
ENST00000641979	ENSG00000284646
ENST00000453135	ENSG00000235643
ENST00000642131	ENSG00000284708
ENST00000294485	ENSG00000162490
ENST00000376620	ENSG00000177553
ENST00000376468	ENSG00000120937
ENST00000416696	ENSG00000229484
ENST00000606790	ENSG00000272482
ENST00000376221	ENSG00000204518
ENST00000357726	ENSG00000116726
