transcript_id	cdna_len
ENST00000456328	1657
ENST00000450305	632
ENST00000488147	1351
ENST00000619216	68
ENST00000473358	712
ENST00000469289	535
ENST00000607096	138
ENST00000417324	1187
ENST00000461467	590
ENST00000606857	840
ENST00000642116	1414
ENST00000492842	939
ENST00000641515	2618
ENST00000335137	1054
ENST00000466430	2748
ENST00000495576	1319
ENST00000477740	491
ENST00000471248	629
ENST00000610542	723
ENST00000453576	336
ENST00000442987	3812
ENST00000494149	755
ENST00000595919	284
ENST00000493797	323
ENST00000484859	4860
ENST00000490997	518
ENST00000466557	1301
ENST00000410691	104
ENST00000496488	457
ENST00000491962	278
ENST00000624431	570
ENST00000623083	1397
ENST00000612080	68
ENST00000442116	1292
ENST00000448958	2250
ENST00000441866	2256
ENST00000634344	1554
ENST00000450734	457
ENST00000424587	5603
ENST00000458203	385
ENST00000450983	607
ENST00000412666	426
ENST00000635159	994
ENST00000431321	437
ENST00000453935	498
ENST00000440163	462
ENST00000455207	413
ENST00000437905	363
ENST00000426406	995
ENST00000455464	902
ENST00000601814	635
ENST00000445840	183
ENST00000431812	336
ENST00000432723	2477
ENST00000514436	1239
ENST00000419160	547
ENST00000440038	793
ENST00000642074	574
ENST00000423728	838
ENST00000616311	728
ENST00000599771	457
ENST00000641845	571
ENST00000641916	622
ENST00000601486	696
ENST00000641579	545
ENST00000616947	603
ENST00000432964	575
ENST00000608420	438
ENST00000641303	384
ENST00000641063	473
ENST00000641049	519
ENST00000642124	456
ENST00000614007	104
ENST00000634833	906
ENST00000417636	553
ENST00000419394	491
ENST00000423796	607
ENST00000450696	402
ENST00000440196	1022
ENST00000641296	1127
ENST00000357876	1702
ENST00000634337	891
ENST00000635509	941
ENST00000440200	413
ENST00000452176	818
ENST00000416931	372
ENST00000457540	1044
ENST00000414273	1543
ENST00000621981	89
ENST00000427426	682
ENST00000467115	207
ENST00000514057	681
ENST00000416718	547
ENST00000438434	424
ENST00000332831	995
ENST00000441245	629
ENST00000414688	421
ENST00000636676	183
ENST00000447954	355
ENST00000440782	2455
ENST00000506640	6432
ENST00000411249	104
ENST00000422528	456
ENST00000428504	417
ENST00000434264	844
ENST00000457084	566
ENST00000589899	809
ENST00000609830	669
ENST00000429505	441
ENST00000585745	168
ENST00000585768	394
ENST00000586928	598
ENST00000587530	1024
ENST00000588951	607
ENST00000589531	714
ENST00000590848	726
ENST00000591440	780
ENST00000593022	693
ENST00000585826	390
ENST00000592547	608
ENST00000586288	1040
ENST00000591702	1873
ENST00000447500	872
ENST00000443772	417
ENST00000412115	581
ENST00000590817	238
ENST00000326734	1947
ENST00000624927	677
ENST00000473798	1317
ENST00000623808	493
ENST00000445118	6606
ENST00000448975	633
ENST00000608189	824
ENST00000610067	550
ENST00000441765	750
ENST00000609139	455
ENST00000449005	874
ENST00000416570	612
ENST00000623070	494
ENST00000609009	767
ENST00000622921	724
ENST00000415295	894
ENST00000425657	845
ENST00000446136	1807
ENST00000432963	504
ENST00000427857	446
ENST00000415481	1058
ENST00000635557	837
ENST00000607769	351
ENST00000448179	3043
ENST00000398216	443
ENST00000609207	4152
ENST00000417705	1389
ENST00000432961	630
ENST00000420190	1578
ENST00000437963	387
ENST00000342066	2551
ENST00000616016	2391
ENST00000616125	2230
ENST00000617307	2314
ENST00000618181	2179
ENST00000618323	2159
ENST00000618779	2368
ENST00000620200	1874
ENST00000622503	2557
ENST00000341065	2191
ENST00000455979	1731
ENST00000478729	318
ENST00000474461	862
ENST00000466827	542
ENST00000464948	657
ENST00000327044	2790
ENST00000483767	1611
ENST00000477976	4201
ENST00000496938	149
ENST00000487214	865
ENST00000469563	878
ENST00000338591	2560
ENST00000622660	1950
ENST00000463212	955
ENST00000466300	913
ENST00000481067	515
ENST00000379410	2404
ENST00000379407	2194
ENST00000379409	2455
ENST00000480267	464
ENST00000491024	698
ENST00000341290	3035
ENST00000433179	3340
ENST00000479361	1208
ENST00000606034	2086
ENST00000428771	1040
ENST00000304952	899
ENST00000481869	1038
ENST00000484667	667
ENST00000624697	788
ENST00000624652	657
ENST00000423619	154
ENST00000458555	471
ENST00000379389	711
ENST00000620552	7394
ENST00000379370	7323
ENST00000477585	707
ENST00000469403	899
ENST00000479707	584
ENST00000466223	459
ENST00000478677	276
ENST00000492947	690
ENST00000419249	861
ENST00000461111	3385
ENST00000418300	402
ENST00000427998	977
ENST00000394517	397
ENST00000442292	829
ENST00000412397	1219
ENST00000456409	750
ENST00000433695	540
ENST00000451054	565
ENST00000453464	1902
ENST00000379339	2429
ENST00000421241	1841
ENST00000465822	1933
ENST00000379325	2010
ENST00000467751	2099
ENST00000477196	3214
ENST00000487177	3315
ENST00000464905	650
ENST00000379320	2324
ENST00000379319	1097
ENST00000434641	842
ENST00000482816	982
ENST00000462097	836
ENST00000473600	793
ENST00000475119	740
ENST00000442117	554
ENST00000427787	575
ENST00000472741	661
ENST00000480643	579
ENST00000416774	1620
ENST00000384997	95
ENST00000384875	90
ENST00000362106	83
ENST00000606993	987
ENST00000379317	3532
ENST00000506177	557
ENST00000379290	2283
ENST00000379289	2259
ENST00000379288	2114
ENST00000460998	718
ENST00000514695	219
ENST00000486379	426
ENST00000328596	851
ENST00000379268	1179
