transcript_id	cdna_len
ENST00000335877	4290
ENST00000448876	1681
ENST00000369288	1424
ENST00000379819	1820
ENST00000372978	794
ENST00000546672	839
ENST00000356709	3590
ENST00000543076	406
ENST00000371521	2497
ENST00000356031	5681
ENST00000348231	1467
ENST00000568433	812
ENST00000370910	4406
ENST00000334928	2239
ENST00000441733	961
ENST00000535452	533
ENST00000511834	2306
ENST00000510156	2079
ENST00000442421	692
ENST00000496769	907
ENST00000306071	2557
ENST00000431832	551
ENST00000591600	348
ENST00000461406	3644
ENST00000341276	2865
ENST00000375825	402
ENST00000359358	4312
ENST00000530186	352
ENST00000287394	5565
ENST00000637082	100
ENST00000373538	1504
ENST00000251334	4255
ENST00000414812	957
ENST00000443551	692
ENST00000371187	2683
ENST00000505251	265
ENST00000413388	1285
ENST00000580392	650
ENST00000468393	921
ENST00000485307	1574
ENST00000349598	3248
ENST00000624297	2067
ENST00000349721	5761
ENST00000515612	909
ENST00000432678	1309
ENST00000252891	3561
ENST00000375715	2993
ENST00000419074	997
ENST00000446377	6686
ENST00000367134	4616
ENST00000517426	1574
ENST00000519459	1130
ENST00000550847	670
ENST00000533831	482
ENST00000536586	739
ENST00000553617	876
ENST00000627061	2724
ENST00000542087	438
ENST00000425847	1457
ENST00000373884	2692
ENST00000537931	865
ENST00000508821	3994
ENST00000592763	3866
ENST00000368913	3817
ENST00000377386	6489
ENST00000568538	910
ENST00000409612	2210
ENST00000555420	572
ENST00000396191	2952
ENST00000447885	671
ENST00000394282	3626
ENST00000383763	8685
ENST00000301295	3670
ENST00000382764	878
ENST00000461191	866
ENST00000440143	415
ENST00000579684	564
ENST00000514353	3041
ENST00000373839	6190
ENST00000369983	6403
ENST00000370766	5592
ENST00000361891	1659
ENST00000296509	5468
ENST00000320476	5143
ENST00000439267	781
ENST00000342620	1714
ENST00000327238	3165
ENST00000543337	501
ENST00000301071	1915
ENST00000461277	3857
ENST00000405271	1530
ENST00000439466	1298
ENST00000585679	801
ENST00000440109	935
ENST00000421367	5792
ENST00000579219	999
ENST00000379485	5178
ENST00000531890	670
ENST00000382293	5249
ENST00000530853	5068
ENST00000429658	646
ENST00000503366	5792
ENST00000433235	889
ENST00000338130	1515
ENST00000541184	6012
ENST00000571157	572
ENST00000355413	3849
ENST00000536128	1221
ENST00000437259	3577
ENST00000441189	1051
ENST00000367313	2336
ENST00000442872	344
ENST00000506554	3469
ENST00000535286	2579
ENST00000479287	556
ENST00000527041	582
ENST00000439782	699
ENST00000445170	1379
ENST00000285311	3638
ENST00000297439	478
ENST00000392996	2287
ENST00000423749	771
ENST00000552766	1085
ENST00000503885	458
ENST00000453061	3218
ENST00000619787	2798
ENST00000575394	606
ENST00000559760	733
ENST00000522868	700
ENST00000359265	1189
ENST00000427449	721
ENST00000614927	1216
ENST00000322153	1902
ENST00000372425	1265
ENST00000457265	551
ENST00000409751	1333
ENST00000338382	5765
ENST00000554873	2826
ENST00000356978	4242
ENST00000398645	6511
ENST00000427112	3744
ENST00000392481	1448
ENST00000543414	466
ENST00000376971	1592
ENST00000494518	746
ENST00000429723	562
ENST00000486596	732
ENST00000513072	848
ENST00000490364	459
ENST00000262829	1538
ENST00000561735	613
ENST00000417849	2738
ENST00000453411	1111
ENST00000507746	950
ENST00000538966	6377
ENST00000522369	612
ENST00000368824	2824
